64	64	0	63
0	6		
1	8		
2	12		
3	10		
4	10		
5	18		
6	21		
7	25		
8	30		
9	56		
10	73		
11	110		
12	140		
13	175		
14	200		
15	250		
16	192		
17	172		
18	150		
19	120		
20	88		
21	78		
22	61		
23	40		
24	22		
25	16		
26	12		
27	8		
28	7		
29	5		
30	4		
31	4		
32	3		
33	5		
34	6		
35	8		
36	10		
37	12		
38	21		
39	26		
40	33		
41	45		
42	58		
43	72		
44	90		
45	100		
46	120		
47	150		
48	175		
49	200		
50	170		
51	152		
52	120		
53	100		
54	90		
55	70		
56	46		
57	33		
58	20		
59	10		
60	8		
61	6		
62	8		
63	6		
